rank	event-type	count
470	breath	56
471	tell	56
472	discuss	56
473	account	56
474	enjoi	56
475	regard	56
476	garden	56
477	perfectli	55
478	roubl	55
479	break	55
480	irrit	55
481	town	55
482	fall	55
483	spent	55
484	marsh	55
485	line	54
486	shake	54
487	state	54
488	hard	54
489	difficult	54
490	marshal	54
491	wrote	53
492	dear	53
493	circl	53
494	earli	53
495	ear	53
496	capit	53
497	comfort	53
498	spoke	53
499	isn	53
500	approach	52
501	district	52
502	pai	52
503	bound	52
504	unconsci	52
505	row	52
506	fine	52
507	affect	52
508	success	52
509	dislik	52
510	summer	52
511	mare	52
512	maid	51
513	catch	51
514	ago	51
515	rais	51
516	respond	51
517	fill	51
518	grown	51
519	asleep	51
520	front	51
521	provinc	51
522	plan	51
523	priest	51
524	feet	50
525	handsom	50
526	attract	50
527	soft	50
528	frown	50
529	power	50
530	excus	50
531	elect	50
532	hai	50
533	marriag	49
534	resolut	49
535	pretti	49
536	bye	49
537	colonel	49
538	connect	49
539	strong	49
540	struggl	49
541	influenc	49
542	consciou	48
543	action	48
544	grai	48
545	govern	48
546	ten	48
547	clerk	48
548	shook	48
549	familiar	48
550	free	48
551	admir	48
552	begun	48
553	joi	48
554	ceas	48
555	unmistak	48
556	forward	48
557	stahl	48
558	surpris	47
559	indiffer	47
560	sigh	47
561	ruin	47
562	bright	47
563	dmitrievitch	47
564	bit	47
565	poor	47
566	attitud	47
567	opposit	47
568	grow	47
569	faith	47
570	middl	47
571	dog	47
572	laska	47
573	consid	46
574	physic	46
575	forest	46
576	rapid	46
577	laid	46
578	month	46
579	fix	46
580	road	46
581	chanc	45
582	quarrel	45
583	realiz	45
584	bodi	45
585	manner	45
586	differ	45
587	portrait	45
588	footman	45
589	corner	45
590	emot	45
591	station	45
592	fault	44
593	inquir	44
594	rapidli	44
595	amus	44
596	pick	44
597	excel	44
598	need	44
599	presenc	44
600	spiritu	44
601	lose	44
602	hurriedli	44
603	peculiar	44
604	eager	44
605	intens	44
606	frou	44
607	mihailov	44
608	unpleas	43
609	recollect	43
610	sir	43
611	object	43
612	habit	43
613	bent	43
614	mouth	43
615	cry	43
616	angrili	43
617	convinc	43
618	principl	43
619	futur	43
620	fond	42
621	mamma	42
622	forgotten	42
623	thin	42
624	lower	42
625	broken	42
626	friendli	42
627	twenti	42
628	sign	42
629	satisfi	42
630	separ	42
631	confid	41
632	seat	41
633	signific	41
634	polit	41
635	class	41
636	greet	41
637	calm	41
638	support	41
639	wound	41
640	uniform	41
641	real	41
642	winter	41
643	prove	41
644	common	40
645	longer	40
646	paus	40
647	eh	40
648	merci	40
649	aim	40
650	iron	40
651	tortur	40
652	youth	40
653	share	40
654	kind	40
655	disagre	40
656	greater	40
657	sun	40
658	weak	40
659	guest	40
660	anxiou	40
661	landown	40
662	bailiff	40
663	meadow	40
664	karenina	39
665	jump	39
666	dead	39
667	telegram	39
668	guess	39
669	coffe	39
670	led	39
671	miss	39
672	quiver	39
673	depart	39
674	cap	39
675	skate	39
676	haven	39
677	visit	39
678	stupid	39
679	fulli	39
680	regret	39
681	carefulli	39
682	flower	39
683	wet	39
684	scyth	39
685	member	38
686	reflect	38
687	deceiv	38
688	remark	38
689	cloth	38
690	wash	38
691	pleasant	38
692	consequ	38
693	eat	38
694	perfect	38
695	easi	38
696	hot	38
697	experienc	38
698	gun	38
699	wouldn	38
700	wake	38
701	machin	38
702	dy	38
703	gover	37
704	announc	37
705	brow	37
706	lead	37
707	satisfact	37
708	grisha	37
709	health	37
710	freedom	37
711	charact	37
712	proud	37
713	creatur	37
714	judg	37
715	pursu	37
716	new	37
717	keep	37
718	slowli	37
719	exquisit	37
720	flash	37
721	kill	37
722	agoni	37
723	altogeth	37
724	snipe	37
725	serpuhovskoi	37
726	bedroom	36
727	rush	36
728	prai	36
729	absolut	36
730	seek	36
731	pride	36
732	phrase	36
733	save	36
734	mistak	36
735	absorb	36
736	court	36
737	dull	36
738	fly	36
739	weari	36
740	villag	36
741	candl	36
742	vassili	36
743	singl	36
744	bird	36
745	system	36
746	pestsov	36
747	confus	35
748	conceal	35
749	bare	35
750	bell	35
751	decis	35
752	art	35
753	mental	35
754	darl	35
755	german	35
756	secretari	35
757	entranc	35
758	terror	35
759	possess	35
760	wave	35
761	clever	35
762	bore	35
763	kostya	35
764	frighten	35
765	petritski	35
766	die	35
767	cart	35
768	stretch	34
769	religion	34
770	cheek	34
771	dread	34
772	consider	34
773	christian	34
774	hurri	34
775	spend	34
776	railwai	34
777	clutch	34
778	unabl	34
779	supper	34
780	slightest	34
781	bath	34
782	miser	34
783	pace	34
784	shot	34
785	lawyer	34
786	household	33
787	gown	33
788	persuad	33
789	knowledg	33
790	effect	33
791	music	33
792	path	33
793	sob	33
794	post	33
795	embarrass	33
796	report	33
797	stori	33
798	elbow	33
799	danc	33
800	definit	33
801	elder	33
802	argument	33
803	favor	33
804	sledg	33
805	thick	33
806	wine	33
807	purpos	33
808	warm	33
809	invit	33
810	nonsens	33
811	strength	33
812	nikolaevna	33
813	stare	33
814	distinctli	33
815	reproach	33
816	stream	33
817	plough	33
818	papa	33
819	hurt	32
820	shut	32
821	rang	32
822	boot	32
823	shirt	32
824	piec	32
825	roll	32
826	beam	32
827	punish	32
828	ag	32
829	let	32
830	celebr	32
831	game	32
832	flew	32
833	strain	32
834	wast	32
835	prevent	32
836	previou	32
837	regiment	32
838	field	32
839	huge	31
840	broke	31
841	possibli	31
842	joke	31
843	grew	31
844	favorit	31
845	shriek	31
846	nurseri	31
847	jealousi	31
848	tast	31
849	appar	31
850	scarc	31
851	convict	31
852	seren	31
853	waiter	31
854	immens	31
855	commun	31
856	highest	31
857	gloomi	31
858	smoke	31
859	reckon	31
860	rug	31
861	varvara	31
862	vanish	30
863	univers	30
864	chest	30
865	frame	30
866	eas	30
867	attempt	30
868	belong	30
869	gain	30
870	introduc	30
871	despis	30
872	precis	30
873	farm	30
874	agricultur	30
875	week	30
876	awkward	30
877	worth	30
878	laughter	30
879	de	30
880	dare	30
881	higher	30
882	fail	30
883	club	30
884	secret	30
885	hostil	30
886	temper	30
887	shade	30
888	join	30
889	spot	30
890	commiss	30
891	sensat	29
892	heat	29
893	matvei	29
894	sympathi	29
895	deliber	29
896	merchant	29
897	develop	29
898	maintain	29
899	larg	29
900	contemptu	29
901	exasper	29
902	bend	29
903	lean	29
904	mysteri	29
905	accept	29
906	right	29
907	sudden	29
908	tall	29
909	evil	29
910	fat	29
911	correct	29
912	confess	29
913	sooth	29
914	spoil	29
915	attack	29
916	bee	29
917	blue	28
918	upstair	28
919	doorwai	28
920	properti	28
921	articl	28
922	measur	28
923	cup	28
924	sever	28
925	soften	28
926	gentlemen	28
927	restrain	28
928	cattl	28
929	author	28
930	energi	28
931	professor	28
932	fit	28
933	written	28
934	divid	28
935	attach	28
936	help	28
937	inquiri	28
938	brilliant	28
939	small	28
940	insist	28
941	jealou	28
942	tire	28
943	hang	28
944	wheel	28
945	couldn	28
946	scream	28
947	stir	28
948	floor	28
949	loss	28
950	green	28
951	artist	28
952	hide	27
953	vagu	27
954	bui	27
955	tanya	27
956	cheer	27
957	lesson	27
958	flung	27
959	heavi	27
960	absurd	27
961	conscious	27
962	queer	27
963	fetch	27
964	stock	27
965	assist	27
966	hire	27
967	birch	27
968	snow	27
969	marvel	27
970	fals	27
971	wide	27
972	hesit	27
973	serv	27
974	honest	27
975	hotel	27
976	guard	27
977	bag	27
978	gestur	27
979	miseri	27
980	distress	27
981	loud	27
982	control	27
983	estat	27
984	di	27
985	appoint	27
986	theori	27
987	rain	27
988	ride	27
989	est	27
990	wed	27
991	sofa	26
992	forev	26
993	annoi	26
994	defend	26
995	conceiv	26
996	content	26
997	deep	26
998	whisker	26
999	slip	26
1000	danger	26
1001	smooth	26
1002	perceiv	26
1003	timid	26
1004	radiant	26
1005	fallen	26
1006	perform	26
1007	top	26
1008	hatr	26
1009	wear	26
1010	recov	26
1011	advis	26
1012	holi	26
1013	rate	26
1014	lord	26
1015	sincer	26
1016	depend	26
1017	disturb	26
1018	bread	26
1019	spoken	26
1020	instanc	26
1021	agit	26
1022	crop	26
1023	escap	26
1024	squeez	26
1025	envi	26
1026	nearer	26
1027	teacher	26
1028	bought	26
1029	annushka	26
1030	sky	26
1031	mushroom	26
1032	trap	26
1033	pyotr	26
1034	theater	25
1035	characterist	25
1036	sin	25
1037	easili	25
1038	inform	25
1039	slight	25
1040	firmli	25
1041	disgust	25
1042	sank	25
1043	wind	25
1044	intim	25
1045	bless	25
1046	term	25
1047	council	25
1048	anger	25
1049	lack	25
1050	acr	25
1051	nobl	25
1052	determin	25
1053	comprehend	25
1054	teeth	25
1055	bottl	25
1056	scowl	25
1057	drunk	25
1058	cast	25
1059	defin	25
1060	rous	25
1061	pardon	25
1062	lamp	25
1063	propos	25
1064	gather	25
1065	burn	25
1066	profit	25
1067	arous	25
1068	comrad	25
1069	rare	25
1070	mud	25
1071	method	25
1072	forgot	25
1073	war	25
1074	metrov	25
1075	petrovna	25
1076	vigor	24
1077	thirti	24
1078	younger	24
1079	ti	24
1080	broad	24
1081	essenti	24
1082	push	24
1083	advic	24
1084	quiet	24
1085	unnatur	24
1086	see	24
1087	guilti	24
1088	examin	24
1089	mere	24
1090	ridicul	24
1091	build	24
1092	intend	24
1093	disput	24
1094	distinct	24
1095	result	24
1096	style	24
1097	bliss	24
1098	glove	24
1099	overcoat	24
1100	detect	24
1101	pavilion	24
1102	surround	24
1103	innoc	24
1104	prayer	24
1105	fascin	24
1106	christ	24
1107	departur	24
1108	independ	24
1109	suggest	24
1110	possibl	24
1111	journei	24
1112	ivan	24
1113	twitch	24
1114	approv	24
1115	saddl	24
1116	event	24
1117	cow	24
1118	enemi	24
1119	burst	24
1120	wall	24
1121	committe	24
1122	tverskaya	24
1123	wretch	24
1124	sing	24
1125	tushkevitch	24
1126	vote	24
1127	lizaveta	24
1128	succeed	23
1129	match	23
1130	debt	23
1131	prais	23
1132	mistress	23
1133	rent	23
1134	guid	23
1135	koznishev	23
1136	concept	23
1137	resolv	23
1138	greatli	23
1139	street	23
1140	offend	23
1141	cloud	23
1142	practic	23
1143	gloomili	23
1144	realiti	23
1145	shadow	23
1146	nordston	23
1147	contempt	23
1148	mention	23
1149	group	23
1150	knee	23
1151	fire	23
1152	inevit	23
1153	improv	23
1154	critic	23
1155	devot	23
1156	mistaken	23
1157	gallop	23
1158	myakaya	23
1159	cultur	23
1160	sow	23
1161	rein	23
1162	nobil	23
1163	mile	23
1164	bottom	23
1165	tit	23
1166	landau	23
1167	disgrac	22
1168	solut	22
1169	pocket	22
1170	faint	22
1171	like	22
1172	threw	22
1173	choos	22
1174	crush	22
1175	lightli	22
1176	pale	22
1177	nervou	22
1178	milk	22
1179	kindli	22
1180	lunch	22
1181	eleg	22
1182	cloak	22
1183	drawn	22
1184	bank	22
1185	extern	22
1186	base	22
1187	ic	22
1188	foot	22
1189	earth	22
1190	lot	22
1191	grace	22
1192	fool	22
1193	extraordinari	22
1194	harm	22
1195	stronger	22
1196	platform	22
1197	smart	22
1198	necess	22
1199	star	22
1200	kouzma	22
1201	dry	22
1202	stick	22
1203	wasn	22
1204	conclus	22
1205	gladiat	22
1206	terrac	22
1207	liza	22
1208	stremov	22
1209	gaili	21
1210	ponder	21
1211	gleam	21
1212	cruel	21
1213	conduct	21
1214	loudli	21
1215	check	21
1216	swing	21
1217	scienc	21
1218	accord	21
1219	smell	21
1220	occupi	21
1221	qualiti	21
1222	fortun	21
1223	career	21
1224	mihail	21
1225	quick	21
1226	insult	21
1227	redden	21
1228	lvov	21
1229	organ	21
1230	compani	21
1231	await	21
1232	shan	21
1233	empti	21
1234	intellig	21
1235	confirm	21
1236	tini	21
1237	mood	21
1238	masha	21
1239	rub	21
1240	le	21
1241	refer	21
1242	driven	21
1243	yard	21
1244	button	21
1245	storm	21
1246	behav	21
1247	ryabinin	21
1248	interpret	21
1249	turovtsin	21
1250	wild	20
1251	cook	20
1252	edg	20
1253	color	20
1254	reveal	20
1255	anticip	20
1256	oneself	20
1257	jacket	20
1258	thrust	20
1259	firm	20
1260	cigar	20
1261	fasten	20
1262	shine	20
1263	board	20
1264	aunt	20
1265	justic	20
1266	veil	20
1267	mademoisel	20
1268	proceed	20
1269	experi	20
1270	forehead	20
1271	aren	20
1272	ribbon	20
1273	triumph	20
1274	fling	20
1275	shop	20
1276	consent	20
1277	advantag	20
1278	digniti	20
1279	hint	20
1280	religi	20
1281	collect	20
1282	maman	20
1283	alexand	20
1284	travel	20
1285	rejoic	20
1286	cost	20
1287	throw	20
1288	host	20
1289	occur	20
1290	cough	20
1291	patch	20
1292	crimson	20
1293	invalid	20
1294	rise	20
1295	moral	20
1296	final	20
1297	number	20
1298	discov	19
1299	peep	19
1300	incap	19
1301	cigarett	19
1302	chain	19
1303	healthi	19
1304	sell	19
1305	reconcil	19
1306	liber	19
1307	shape	19
1308	ow	19
1309	institut	19
1310	allow	19
1311	agreeabl	19
1312	roof	19
1313	pretend	19
1314	stroke	19
1315	consist	19
1316	staircas	19
1317	unknown	19
1318	coldli	19
1319	proof	19
1320	beat	19
1321	paid	19
1322	mustn	19
1323	remind	19
1324	exercis	19
1325	composur	19
1326	violent	19
1327	unlik	19
1328	la	19
1329	dissatisfact	19
1330	enjoy	19
1331	human	19
1332	parent	19
1333	bride	19
1334	vex	19
1335	lie	19
1336	materi	19
1337	hitherto	19
1338	scare	19
1339	curl	19
1340	follow	19
1341	dismai	19
1342	forti	19
1343	beast	19
1344	speech	19
1345	trace	19
1346	expens	19
1347	nose	19
1348	fyodor	19
1349	lover	19
1350	intellectu	19
1351	patient	19
1352	opera	19
1353	stabl	19
1354	advanc	19
1355	mahotin	19
1356	englishman	19
1357	grous	19
1358	million	19
1359	embrac	18
1360	pillow	18
1361	habitu	18
1362	fair	18
1363	vividli	18
1364	complex	18
1365	degre	18
1366	activ	18
1367	ration	18
1368	rid	18
1369	deceit	18
1370	oppos	18
1371	luxuri	18
1372	interview	18
1373	betrai	18
1374	scan	18
1375	stranger	18
1376	amaz	18
1377	fur	18
1378	delai	18
1379	requir	18
1380	princip	18
1381	treat	18
1382	engag	18
1383	due	18
1384	beard	18
1385	companion	18
1386	percept	18
1387	sleev	18
1388	wrap	18
1389	promptli	18
1390	problem	18
1391	reserv	18
1392	weight	18
1393	obtain	18
1394	depress	18
1395	lace	18
1396	dirti	18
1397	hungri	18
1398	relief	18
1399	anxieti	18
1400	impati	18
1401	bitter	18
1402	complic	18
1403	declar	18
1404	hunt	18
1405	song	18
1406	eagerli	18
1407	softli	18
1408	skirt	18
1409	capabl	18
1410	tie	18
1411	mustach	18
1412	float	18
1413	period	18
1414	cool	18
1415	corridor	18
1416	abandon	18
1417	ambassador	18
1418	task	18
1419	europ	18
1420	rode	18
1421	fifti	18
1422	card	18
1423	trembl	18
1424	misfortun	18
1425	wai	18
1426	assent	18
1427	concentr	18
1428	hospit	18
1429	volunt	18
1430	last	17
1431	knit	17
1432	caus	17
1433	shudder	17
1434	valet	17
1435	nod	17
1436	stern	17
1437	queri	17
1438	scent	17
1439	childish	17
1440	quietli	17
1441	alarm	17
1442	tightli	17
1443	uncl	17
1444	salari	17
1445	distract	17
1446	stone	17
1447	yellow	17
1448	modern	17
1449	slightli	17
1450	explan	17
1451	strike	17
1452	scientif	17
1453	weather	17
1454	delic	17
1455	childhood	17
1456	increas	17
1457	stumbl	17
1458	genuin	17
1459	loath	17
1460	pour	17
1461	mark	17
1462	remors	17
1463	disappear	17
1464	nowadai	17
1465	load	17
1466	confin	17
1467	heavili	17
1468	height	17
1469	easier	17
1470	indic	17
1471	distanc	17
1472	consol	17
1473	hid	17
1474	displeas	17
1475	waltz	17
1476	korsunski	17
1477	coupl	17
1478	motion	17
1479	wing	17
1480	scandal	17
1481	timidli	17
1482	aliv	17
1483	instinct	17
1484	calmli	17
1485	jest	17
1486	foreign	17
1487	urg	17
1488	sum	17
1489	dust	17
1490	attain	17
1491	incomprehens	17
1492	grate	17
1493	cops	17
1494	soldier	17
1495	sought	17
1496	thrown	17
1497	pavlovna	17
1498	nevyedovski	17
1499	worst	16
1500	assum	16
1501	curli	16
1502	respons	16
1503	collar	16
1504	handkerchief	16
1505	clean	16
1506	closer	16
1507	repuls	16
1508	soup	16
1509	throat	16
1510	loathsom	16
1511	equal	16
1512	inquiringli	16
1513	desper	16
1514	panic	16
1515	stricken	16
1516	friendship	16
1517	ordinari	16
1518	distinguish	16
1519	annoy	16
1520	driver	16
1521	crack	16
1522	dart	16
1523	ecstasi	16
1524	assur	16
1525	vodka	16
1526	sourc	16
1527	transform	16
1528	oblig	16
1529	frequent	16
1530	scene	16
1531	exceedingli	16
1532	uneasi	16
1533	distast	16
1534	whistl	16
1535	shown	16
1536	lock	16
1537	weigh	16
1538	glow	16
1539	teach	16
1540	lilac	16
1541	torn	16
1542	fold	16
1543	invent	16
1544	string	16
1545	neighbor	16
1546	pack	16
1547	snatch	16
1548	barrier	16
1549	duel	16
1550	fight	16
1551	deacon	16
1552	useless	16
1553	thrash	16
1554	jam	16
1555	bush	16
1556	noblemen	16
1557	food	16
1558	lad	16
1559	limit	15
1560	worn	15
1561	plump	15
1562	pink	15
1563	reconcili	15
1564	ach	15
1565	brain	15
1566	courag	15
1567	fate	15
1568	horribl	15
1569	sparkl	15
1570	eyebrow	15
1571	blood	15
1572	privat	15
1573	tsar	15
1574	passag	15
1575	stair	15
1576	name	15
1577	social	15
1578	champagn	15
1579	select	15
1580	justifi	15
1581	unexpect	15
1582	brightli	15
1583	complain	15
1584	defect	15
1585	shtcherbatskaya	15
1586	except	15
1587	wheat	15
1588	swarm	15
1589	compos	15
1590	grasp	15
1591	muse	15
1592	tail	15
1593	velvet	15
1594	bill	15
1595	uncomfort	15
1596	mine	15
1597	conscienc	15
1598	partli	15
1599	engross	15
1600	remot	15
1601	pursuit	15
1602	dispos	15
1603	astonish	15
1604	benefit	15
1605	sorrow	15
1606	rosi	15
1607	hostess	15
1608	stage	15
1609	center	15
1610	space	15
1611	construct	15
1612	regain	15
1613	disappoint	15
1614	slavon	15
1615	medicin	15
1616	oat	15
1617	wood	15
1618	clover	15
1619	outsid	15
1620	shrill	15
1621	secur	15
1622	occup	15
1623	quarter	15
1624	breast	15
1625	sole	15
1626	utmost	15
1627	hinder	15
1628	badli	15
1629	italian	15
1630	exagger	15
1631	mower	15
1632	nobleman	15
1633	salvat	15
1634	tribe	15
1635	lukitch	15
1636	snetkov	15
1637	buri	14
1638	hung	14
1639	hopeless	14
1640	humoredli	14
1641	comb	14
1642	philimonovna	14
1643	aid	14
1644	seal	14
1645	major	14
1646	origin	14
1647	element	14
1648	divin	14
1649	waistcoat	14
1650	vexat	14
1651	muscl	14
1652	older	14
1653	simplic	14
1654	endur	14
1655	merrili	14
1656	twelv	14
1657	philosophi	14
1658	philosoph	14
1659	retreat	14
1660	sea	14
1661	appeal	14
1662	sure	14
1663	faculti	14
1664	shouldn	14
1665	drag	14
1666	cord	14
1667	heel	14
1668	outer	14
1669	tatar	14
1670	fish	14
1671	suppress	14
1672	coars	14
1673	wealthi	14
1674	process	14
1675	mazurka	14
1676	perplex	14
1677	suspicion	14
1678	review	14
1679	curv	14
1680	upset	14
1681	circumst	14
1682	heaven	14
1683	highli	14
1684	attir	14
1685	waist	14
1686	swiftli	14
1687	protect	14
1688	intellect	14
1689	drank	14
1690	knife	14
1691	nois	14
1692	aloud	14
1693	yield	14
1694	roar	14
1695	branch	14
1696	baro	14
1697	bridg	14
1698	hadn	14
1699	hideou	14
1700	deepli	14
1701	boudoir	14
1702	falsehood	14
1703	jaw	14
1704	price	14
1705	carpent	14
1706	rye	14
1707	moist	14
1708	steward	14
1709	dissatisfi	14
1710	exchang	14
1711	appreci	14
1712	nativ	14
1713	varya	14
1714	ceremoni	14
1715	kornei	14
1716	governor	14
1717	painfulli	13
1718	stout	13
1719	gold	13
1720	deni	13
1721	flood	13
1722	blind	13
1723	aros	13
1724	progress	13
1725	stoop	13
1726	affection	13
1727	submiss	13
1728	furi	13
1729	second	13
1730	wipe	13
1731	bald	13
1732	grief	13
1733	cousin	13
1734	midst	13
1735	produc	13
1736	exact	13
1737	sharp	13
1738	slender	13
1739	suit	13
1740	shrug	13
1741	cultiv	13
1742	depriv	13
1743	visibl	13
1744	barn	13
1745	obstacl	13
1746	narrow	13
1747	attend	13
1748	merri	13
1749	shed	13
1750	screw	13
1751	hut	13
1752	sooner	13
1753	instantli	13
1754	oyster	13
1755	choic	13
1756	mad	13
1757	sacrific	13
1758	conclud	13
1759	aspect	13
1760	caress	13
1761	shone	13
1762	notion	13
1763	swai	13
1764	warmli	13
1765	mass	13
1766	lofti	13
1767	gai	13
1768	congratul	13
1769	downstair	13
1770	incid	13
1771	depth	13
1772	devil	13
1773	project	13
1774	plenti	13
1775	alter	13
1776	glimps	13
1777	accompani	13
1778	provid	13
1779	belt	13
1780	incom	13
1781	wit	13
1782	sketch	13
1783	swift	13
1784	pair	13
1785	rule	13
1786	gentli	13
1787	wealth	13
1788	greatest	13
1789	uncertainti	13
1790	graviti	13
1791	adopt	13
